width,height,algo,mode,seed,braid,reached,steps,cost,replans,nodes,runtime_sec,map
11,11,bfs,fog,0,0.3,True,46,46,35,776,0.0035530999884940684,maze_11x11_b30_s0.csv
11,11,dfs,fog,0,0.3,True,46,46,35,1008,0.004933700009132735,maze_11x11_b30_s0.csv
11,11,ucs,fog,0,0.3,True,46,46,35,782,0.003908799990313128,maze_11x11_b30_s0.csv
11,11,bfs,fog,1,0.3,True,24,24,19,246,0.0012768000015057623,maze_11x11_b30_s1.csv
11,11,astar,fog,0,0.3,True,46,46,35,752,0.0039016999944578856,maze_11x11_b30_s0.csv
11,11,greedy,fog,0,0.3,True,46,46,35,748,0.004068599999300204,maze_11x11_b30_s0.csv
11,11,dfs,fog,1,0.3,True,24,24,19,304,0.0014789999986533076,maze_11x11_b30_s1.csv
11,11,ucs,fog,1,0.3,True,24,24,19,252,0.0013472000136971474,maze_11x11_b30_s1.csv
11,11,astar,fog,1,0.3,True,24,24,19,237,0.0013840000028721988,maze_11x11_b30_s1.csv
11,11,greedy,fog,1,0.3,True,24,24,19,237,0.0013195999927120283,maze_11x11_b30_s1.csv
161,161,bfs,fog,0,0.3,True,5684,5684,4276,9622628,41.24769899999956,maze_161x161_b30_s0.csv
161,161,greedy,fog,0,0.3,True,5704,5704,4276,9618775,44.222526199999265,maze_161x161_b30_s0.csv
161,161,ucs,fog,0,0.3,True,5684,5684,4276,9622936,44.34026329999324,maze_161x161_b30_s0.csv
161,161,astar,fog,0,0.3,True,5684,5684,4276,9619041,46.1244527999952,maze_161x161_b30_s0.csv
161,161,dfs,fog,0,0.3,True,11760,11760,4276,14492462,62.487721100013005,maze_161x161_b30_s0.csv
21,21,bfs,fog,0,0.3,True,154,154,121,8185,0.03647880000062287,maze_21x21_b30_s0.csv
21,21,dfs,fog,0,0.3,True,184,184,121,12074,0.05049480000161566,maze_21x21_b30_s0.csv
21,21,ucs,fog,0,0.3,True,154,154,121,8197,0.03603600000496954,maze_21x21_b30_s0.csv
21,21,astar,fog,0,0.3,True,154,154,121,8090,0.04940000000351574,maze_21x21_b30_s0.csv
21,21,greedy,fog,0,0.3,True,154,154,121,8085,0.050178100005723536,maze_21x21_b30_s0.csv
21,21,bfs,fog,1,0.3,True,44,44,41,1049,0.004835400002775714,maze_21x21_b30_s1.csv
21,21,dfs,fog,1,0.3,True,44,44,41,1339,0.006384399996022694,maze_21x21_b30_s1.csv
21,21,ucs,fog,1,0.3,True,44,44,41,1071,0.0050786999927368015,maze_21x21_b30_s1.csv
21,21,astar,fog,1,0.3,True,44,44,41,1030,0.007612299988977611,maze_21x21_b30_s1.csv
21,21,greedy,fog,1,0.3,True,44,44,41,1030,0.005097299988847226,maze_21x21_b30_s1.csv
161,161,bfs,fog,1,0.3,True,9036,9036,5816,17734980,77.46336660000088,maze_161x161_b30_s1.csv
161,161,ucs,fog,1,0.3,True,9036,9036,5816,17735260,80.0052946999931,maze_161x161_b30_s1.csv
161,161,greedy,fog,1,0.3,True,9070,9070,5816,17726485,80.35234939999646,maze_161x161_b30_s1.csv
161,161,astar,fog,1,0.3,True,9036,9036,5816,17727397,84.3063439999969,maze_161x161_b30_s1.csv
161,161,dfs,fog,1,0.3,True,45160,45160,5816,26686119,112.4758479000011,maze_161x161_b30_s1.csv
